########## REPORT GEN: 2 ##########
SPECIES: 
Rodriguez      		Mean: 160.97 		Best: 932.88 		N:6
Fields         		Mean: 59.49 		Best: 930.82 		N:17
Foster         		Mean: 108.83 		Best: 931.77 		N:9
Canfield       		Mean: 93.08 		Best: 928.24 		N:10
Cunningham     		Mean: 140.41 		Best: 931.77 		N:7
Kleypas        		Mean: 85.22 		Best: 928.24 		N:11
Mathews        		Mean: 486.29 		Best: 928.24 		N:2
Hendley        		Mean: 185.65 		Best: 928.24 		N:5
Bass           		Mean: 233.39 		Best: 928.24 		N:4
Solis          		Mean: 45.76 		Best: 930.82 		N:22
Cook           		Mean: 320.29 		Best: 926.63 		N:3
Sallade        		Mean: 238.54 		Best: 928.24 		N:4

########## REPORT GEN: 3 ##########
SPECIES: 
Cunningham     		Mean: 66.74 		Best: 932.88 		N:15
Sallade        		Mean: 240.79 		Best: 932.88 		N:4
Fleagle        		Mean: 326.16 		Best: 932.88 		N:3
Rodriguez      		Mean: 189.78 		Best: 928.24 		N:5
Fields         		Mean: 140.15 		Best: 930.82 		N:7
Canfield       		Mean: 323.36 		Best: 928.24 		N:3
Mathews        		Mean: 142.2 		Best: 930.82 		N:7
Hendley        		Mean: 186.85 		Best: 928.24 		N:5
Bass           		Mean: 98.14 		Best: 931.77 		N:10
Solis          		Mean: 83.3 		Best: 928.24 		N:12
Brown          		Mean: 319.95 		Best: 931.77 		N:3
Morton         		Mean: 194.38 		Best: 928.24 		N:5
Foster         		Mean: 91.14 		Best: 930.82 		N:11
Cook           		Mean: 123.51 		Best: 928.24 		N:8

########## REPORT GEN: 4 ##########
SPECIES: 
Cunningham     		Mean: 195.25 		Best: 930.72 		N:5
Sallade        		Mean: 120.7 		Best: 930.72 		N:8
Foster         		Mean: 196.67 		Best: 930.72 		N:5
Morton         		Mean: 89.57 		Best: 932.48 		N:11
Fleagle        		Mean: 320.9 		Best: 932.88 		N:3
Fields         		Mean: 108.61 		Best: 928.24 		N:9
